filename,tree_height_m,dbh_cm,crown_width_m_E,branch_clearance_m_E,crown_height_m_E,crown_width_m_W,branch_clearance_m_W,crown_height_m_W,crown_width_m_N,branch_clearance_m_N,crown_height_m_N,crown_width_m_S,branch_clearance_m_S,crown_height_m_S,V_m3,A_m2,Aproj_m2
182,16.86,12.5,1.48,6.4,8.47,1.32,6.81,9.06,1.22,6.4,8.47,1.49,7.04,9.62,15.02126465,38.76236343,5.211926937
183,18.78,18.22,1.28,8.66,11.43,1.56,8.49,11.32,1.54,8.79,11.7,1.26,8.37,11.06,15.32804395,36.29854965,6.600883484
184,13,13.9,1.33,5.6,7.42,1.63,5.99,8.16,1.31,5.84,7.89,1.34,5.76,7.75,15.4344502,36.29432678,5.27038765
185,16.19,14.47,1.39,6.9,9.3,1.53,6.25,8.33,1.39,6.53,8.55,1.69,6.77,9.11,15.59073926,37.83988953,6.530850887
186,19.04,11.72,1.43,9.08,12.32,1.17,8.88,11.78,1.2,8.78,11.81,1.47,8.94,12.17,15.60139941,38.75821304,5.141273499
187,21.87,15.58,1.59,8.82,12.06,1.3,6.44,9.22,1.43,6.35,9.27,1.46,8.65,12.01,15.82989648,38.44282913,6.012892723
188,18.05,17.58,1.47,7.99,10.72,1.2,8.43,11.01,1.56,7.98,10.83,1.28,8.43,11.01,15.96365234,42.28825378,5.955240726
189,17.44,21.63,1.64,7.3,9.6,1.59,8.42,11.03,1.83,8.48,11.21,1.5,7.25,9.42,15.99008203,35.78557968,7.689691067
190,17.73,15.98,1.56,7.69,10.33,1.28,9.33,12.34,1.73,8.28,11.12,1.7,8.62,11.55,16.00881641,36.52440262,7.109218121
191,21.07,17.87,1.52,8.6,11.65,1.24,8.32,11.22,1.3,7.55,10.5,1.59,8.65,11.86,16.50316992,39.76455307,5.710822582
192,17.35,13.63,1.57,8.33,11.28,1.28,9.61,12.78,1.52,8.25,11.17,1.25,9.37,12.61,16.55183984,45.28686905,4.937965393
193,17.4,10.8,1.34,9.52,12.86,1.64,8.42,11.5,1.45,9.99,13.57,1.19,7.99,10.79,16.75338477,50.69894409,5.137470722
194,17.25,13.29,1.46,8.96,12,1.79,8.62,11.61,1.22,8.68,11.77,1,8.74,11.84,16.8295957,53.49524307,4.723453999
195,16.2,15.42,1.42,7.35,9.9,1.19,8.19,11.08,1.26,7.14,9.6,1.19,8.19,11.08,16.95016211,43.19559097,5.082536221
196,17.56,18.23,1.76,7.69,10.25,1.44,8.59,11.41,1.2,7.95,10.45,1.47,8,10.74,16.96550195,37.16657257,6.688521862
197,18.38,12.45,1.5,8.13,11.1,1.23,8.5,11.32,1.31,7.75,10.77,1.07,8.82,11.89,17.05240234,50.49426651,5.144512177
198,16.18,12.7,1.72,8.1,10.99,1.4,9.11,12.41,1.3,8.54,11.67,1.07,8.7,11.73,17.18786719,49.86565399,5.043378353
199,18.22,14.69,1.75,8.68,11.67,1.43,9.66,12.85,1.63,8.84,11.88,1.33,9.57,12.64,17.2119707,39.431633,6.712614536
200,11.71,19.62,1.37,5.33,6.97,1.66,5.42,7.21,1.59,5.37,7.19,1.3,5.33,6.99,17.63250781,39.96785736,6.208763123
201,18.2,10.82,1.42,8.9,11.88,1.74,6.08,8.36,1.84,9.4,12.75,1.51,6.22,8.51,17.66893164,43.11291885,7.189997673
202,16.54,13.83,1.38,8.72,11.62,1.68,8.03,10.84,1.24,9.07,12.1,1.52,7.72,10.48,17.95985938,42.05537796,6.440202236
203,19.01,15.34,1.56,7.83,10.49,1.32,8.65,11.46,1.35,7.83,10.49,1.22,8.65,11.46,18.3905957,49.90665436,5.802486897
204,19.16,16.31,1.87,8,10.88,1.53,7.36,10.01,1.45,8.66,11.68,1.66,6.69,9.21,18.5755957,43.17857742,7.034989834
205,14.9,11.45,1.66,6.57,8.92,1.52,7.25,9.99,0.92,6.9,9.16,1.12,7.13,9.65,18.78070508,52.9209938,4.461596966
206,19.79,15.43,1.64,7.84,10.79,1.51,8.17,11.14,1.08,7.77,10.59,1.32,8.65,11.71,18.88349805,48.98296738,5.524823189
207,18.72,15.66,1.29,8.39,11.28,1.58,8,10.86,1.57,7.84,10.59,1.87,8.56,11.55,19.18574219,43.19145966,6.604974747
208,13.96,9.08,1.55,6.84,9.6,1.26,7.56,10.77,1.4,7.13,10.07,1.15,7.39,10.31,19.28623242,49.47332764,5.09688139
209,17.12,12.94,1.59,9.5,12.91,1.3,8.64,11.71,1.46,8.84,12.04,1.2,9.28,12.58,19.93041992,53.86246872,5.335578918
210,16.5,14.39,1.92,6.94,9.4,1.57,7.02,8.27,1.2,7.31,9.93,0.98,7.02,8.27,19.96541016,53.07922363,6.023235798
211,18.15,12.58,1.71,8.87,12.03,1.4,8.66,11.68,1.59,8.45,11.49,1.3,8.68,11.69,20.50287109,52.49431992,5.818747044
212,14.61,12.74,1.39,6.86,9.13,1.7,7.04,9.71,1.32,6.93,9.24,1.61,6.53,8.76,20.50451758,61.44334793,6.050945282
213,17.24,10.26,1.42,8.72,11.86,1.16,8.61,11.43,1.33,8.82,12,1.62,7.48,10.33,20.51499219,49.15552902,5.849511147
214,14.94,19.32,1.53,5.74,7.33,1.88,6.05,7.9,1.51,5.9,7.61,1.85,5.86,7.62,20.68663867,45.31785202,7.620340347
215,18.85,16.06,1.27,6.67,8.87,1.55,8.44,11.46,1.42,7.28,9.75,1.16,8.3,10.86,20.75271094,47.16288376,6.033416748
216,16.96,11.67,1.88,6.97,9.5,1.54,9.51,12.82,1.16,8.39,11.45,1.42,7.93,10.88,20.81075391,55.36688232,5.924356461
217,15,11.38,1.55,7.98,10.93,1.66,7.63,10.38,1.08,8.57,11.69,1.33,6.82,9.36,20.8325332,56.15337753,5.653967857
218,20.45,16.93,1.72,7.38,10.24,1.41,8.85,11.89,1.31,7.96,10.86,1.52,8.25,11.21,21.1625332,46.49541092,6.680428028
219,16.53,17.99,1.36,6.48,8.49,1.66,6.44,8.52,1.71,7.09,9.4,2.08,5.87,7.65,21.16817773,45.31518555,9.042435646
220,14.63,19.38,2.13,6.69,8.99,1.74,6.95,9.13,1.31,7.06,9.55,1.08,6.95,9.13,21.36475977,50.38242722,7.305811405
221,14.99,20.41,1.5,6.23,8.03,1.83,6.37,8.34,1.61,6.4,8.2,1.97,6.01,7.95,21.81473828,45.33576965,8.625778198
222,15.75,14.54,1.74,7.91,10.43,2.12,9.24,12.7,1.45,8.47,11.56,1.19,8.82,11.88,21.94872461,51.53145218,7.119916439
223,12.56,17.46,2.1,5.36,6.6,1.74,5.6,7.01,1.74,5.38,7.11,1.42,5.09,6.41,22.04044141,47.51531219,8.170694351
224,14.39,12.55,1.59,5.98,8.05,1.3,6.71,9.22,2.22,6.38,8.65,2.51,6.34,8.62,22.60383008,49.62205505,9.996351242
225,16.54,13.17,1.96,7.02,9.51,1.6,8.19,11.03,1.52,7.02,9.51,1.24,8.16,10.99,22.73574219,50.58437729,7.504724979
226,18.74,19.13,1.95,7.2,9.74,1.59,8.72,11.54,1.88,8.06,10.83,1.54,7.84,10.45,23.50660156,51.66468048,8.033308029
227,17.4,14.38,1.5,8.22,10.93,1.23,8.03,10.54,1.47,8.22,10.93,1.22,8.03,10.54,23.55512109,59.23168182,4.792475224
228,17.7,19.9,1.35,7.71,10.16,1.66,7.38,9.87,1.98,7.3,9.61,1.62,8.8,11.21,23.57887695,45.15037918,8.346238136
229,12.22,15.51,1.68,5.58,7.22,2.06,5.36,7.16,1.68,5.36,7.16,1.38,5.58,7.22,23.89919922,49.06394958,8.885640144
230,19.19,12.29,1.54,8.81,11.87,1.26,8.51,11.36,1.43,8.81,11.87,1.75,8.36,11.53,24.11991016,51.73929214,6.670164585
231,15.93,11.01,1.68,8.1,11.13,1.45,7.95,10.82,1.43,7.99,10.83,1.58,8.13,11.12,24.18445313,65.611763,6.331404209
232,13.1,16.46,1.93,5.41,6.95,2.22,6.23,8.41,1.3,6.25,8.31,1.59,5.7,7.48,24.50400781,56.13831711,7.735841751
233,17.13,14,2.24,7.38,9.83,1.83,10.9,13.46,1.24,7.48,10.15,1.02,10.9,13.46,24.68336523,66.74612427,6.786596298
234,12.1,13.8,1.47,5.62,7.53,1.8,5.65,7.78,1.32,5.81,8.06,1.57,5.45,7.41,24.84296289,55.5684433,6.791659832
235,16.69,15.41,1.77,6.93,9.36,1.45,7.45,10.02,1.49,7.57,9.93,1.83,7.36,9.9,24.95817773,53.67708588,7.741889
236,18.82,16.39,1.37,7.16,9.69,1.68,8.32,11.26,1.55,8.37,11.22,1.27,7.51,9.9,25.18791211,56.15526581,6.270800114
237,19.61,14.76,1.43,8.62,11.66,1.75,8.57,11.75,1.17,8.62,11.66,1.43,8.71,11.92,25.23609766,58.13615036,5.376997471
238,18.02,18.94,1.57,8.85,11.59,1.92,8.02,10.64,1.58,8.85,11.59,1.93,6.65,8.83,25.70247266,54.97217178,8.436173439
239,18.41,19.76,1.87,6.89,9.2,2.28,8.11,10.83,1.4,8.11,10.83,1.15,7.49,10,25.74575977,55.90805054,7.822763443
240,13.57,15.08,2.24,5.79,7.83,1.83,5.58,7.37,1.32,5.83,7.78,1.61,5.58,7.37,25.79407813,52.74310303,9.021670341
241,19.69,15.97,1.88,5.86,8.17,1.54,8.15,10.76,1.19,8.15,10.76,1.45,5.86,8.17,26.0687832,64.71808624,6.501893044
242,18.72,16.06,1.72,8.16,10.96,1.41,8.8,11.7,1.38,8.96,11.96,1.24,8,10.7,26.07811523,64.57684326,6.317265034
243,16.62,14.5,1.76,6.73,9.04,1.44,8.34,11.05,1.26,7.33,9.81,1.37,7.6,10.23,26.74273633,65.06481934,5.844535828
244,13.87,13.92,1.72,6.45,8.79,1.56,7.34,10.2,1.29,7.16,9.79,1.58,7.03,9.69,26.87780859,59.82657242,7.003300667
245,15.43,13.93,1.6,6.99,9.47,1.56,7.16,9.71,1.5,7.63,10.43,1.23,6.64,8.75,26.98359375,57.68147659,6.788342953
246,19.96,17.98,2,7.22,9.88,1.63,8.85,11.69,1.59,7.76,10.43,1.42,8.85,11.69,26.99272266,54.9707222,7.943753242
247,17.1,14.9,2,6.47,8.71,1.64,8.14,10.95,1.27,7.71,10.37,1.55,7.8,10.57,27.09957227,65.34353638,6.230431557
248,18.82,13.46,1.52,8.19,11.14,1.36,8.74,11.75,1.55,9.6,12.88,1.26,8.74,11.75,27.16449609,65.19316101,6.202160835
249,18.27,19.8,1.79,8.67,11.51,1.46,8.6,11.34,2.06,8.45,11.17,1.68,9.04,11.66,27.40568359,55.82997894,8.689929008
250,15.23,17.03,1.3,7.05,9.44,1.59,6.6,8.86,1.71,6.71,8.93,1.66,7.04,9.39,27.59623242,54.96221161,7.112664223
251,18.86,17.37,2.02,7.77,10.53,1.65,8.47,11.3,1.46,8.08,10.94,1.2,8.58,11.44,27.62705664,70.91519928,6.935003757
252,22.43,17.16,1.47,8.81,12.21,1.61,8.11,11.44,1.46,8.86,12.26,1.47,8.07,11.38,27.84255273,64.10183716,6.628951073
253,16.45,14.44,1.56,7.29,9.77,1.61,7.23,9.71,1.95,7.34,10.03,1.6,7.23,9.71,27.97829297,65.56351471,7.477928162
254,14.77,17.36,1.95,5.93,7.69,2.05,7.22,9.72,1.61,7.02,9.42,1.32,6.38,8.23,28.39286523,60.69340515,8.016877174
255,19.57,13.75,1.84,8.27,11.32,1.5,9.77,12.94,1.5,8.27,11.32,1.23,10.48,13.89,28.46171875,72.75775909,6.559610367
256,16.89,19.79,1.7,8.86,11.85,1.79,7.75,10.36,1.69,8.89,11.54,2.07,8.55,11.32,28.61943945,53.17796326,9.418453217
257,20.16,18.68,1.69,7.74,10.35,1.51,9.03,11.9,1.21,7.82,10.65,1.46,8.6,11.6,28.70770313,73.54030609,6.485310078
258,19.26,15.14,1.73,8.93,12.03,1.72,9.09,12.18,1.1,10.43,13.71,1.34,7.71,10.5,28.88888086,74.05407715,5.967586517
259,17.29,13.54,1.98,7.58,10.31,1.62,8.07,10.67,1.98,8.24,11.19,1.62,7.44,9.84,29.60397266,64.68511963,8.776145935
260,14.91,14.11,2.02,6.89,9.32,1.65,7.48,10.18,1.53,7.1,9.67,1.51,7.16,9.74,30.02781055,66.65187073,7.932947636
261,18.8,14.73,1.77,7.94,10.79,1.6,8.98,12.08,1.23,8.81,11.87,1.51,8.44,11.45,30.35878711,71.05589294,6.749361992
262,17.18,17.89,1.79,7.51,10.02,1.46,7.7,10.26,1.5,7.87,10.58,1.23,7.96,10.61,30.41874414,66.75836945,6.944329262
263,19.67,17.54,1.52,9.06,12.06,1.86,9.07,12.1,1.49,9.68,12.73,1.7,8.57,11.5,30.42273242,76.57941437,7.180118084
264,21.26,13.95,1.77,8.33,11.64,1.45,8.56,11.7,1.6,9.27,12.64,1.31,7.61,10.7,30.81532227,74.99774933,7.081379414
265,18.76,12.82,1.52,8.2,11.21,1.25,9.17,12.15,1.43,8.4,11.46,1.56,8.61,11.72,30.87215625,73.93785095,6.131409645
266,16.3,15.16,2.17,7.3,9.86,1.78,8.01,10.6,1.62,7.05,9.5,1.33,8.01,10.6,30.87912109,67.5036087,8.122303963
267,16.4,14.08,2,7.28,9.86,1.64,9.81,8.16,1.46,8.22,11.16,1.19,9.81,8.16,30.97575977,70.56525421,7.474555969
268,13.07,19.48,1.89,5.59,7.21,1.55,6.06,7.98,1.5,5.59,7.21,1.22,5.9,7.7,31.23401367,68.17819977,7.356494904
269,18.13,17.96,1.82,5.95,7.95,1.61,6.38,8.54,1.46,7.19,9.57,1.79,5.95,7.95,31.67532617,61.34750748,7.961249352
270,15.68,23.16,2.15,6.44,8.38,1.76,7.11,9.25,2.13,6.52,8.51,1.74,7.11,9.25,32.45286523,55.18493271,11.89369869
271,18.76,15.2,1.38,8.24,11.06,1.69,7.83,10.73,1.83,8.48,11.48,1.66,8.08,10.93,32.74391016,67.40822601,8.421090126
272,16.04,17.83,2.33,6.58,8.71,1.9,8.31,11.18,1.48,7.62,10.15,1.78,6.68,8.79,32.83528906,62.76667786,10.29724789
273,18.52,17.89,1.79,7.28,9.82,1.47,8.47,11.32,1.42,8.38,11.23,1.55,8.47,11.32,33.351,69.56346893,7.29519558
274,19.21,15.71,1.48,7.96,10.69,1.81,9.53,12.72,1.2,7.77,10.5,1.47,9.53,12.72,33.36328125,71.21218872,6.773096561
275,19.83,17.96,2.12,7.54,10.31,1.73,8.53,11.38,1.38,7.62,10.32,1.69,7.92,10.77,33.50169141,64.7819519,8.81051445
276,18.37,16.86,2,10.14,10.57,2.44,7.08,9.5,1.77,8.47,11.22,2.1,7.08,9.5,34.02585156,60.45972824,10.77182388
277,19.57,19.25,2.01,7.93,10.75,1.64,9.03,11.94,1.54,8.81,11.71,1.37,8.22,10.98,34.24479297,82.59666443,7.464976311
278,19.18,17.75,1.67,9.17,12.28,1.37,8.44,11.24,1.64,9.91,13.08,1.35,8.44,11.24,34.26225781,80.88826752,6.502978325
279,17.12,20.55,1.69,7.04,9.19,2.06,7.55,10.01,1.38,8.06,10.63,1.34,6.83,8.93,34.287875,73.58709717,7.73789835
280,18.15,20.53,1.52,8.61,11.24,1.86,8.63,11.33,2.01,9.5,12.46,1.64,9.4,12.1,34.40358594,64.75266266,9.470424652
281,18,16.31,2.01,6.78,9.09,1.81,8.47,11.24,1.45,8.18,10.94,1.72,7.01,9.39,34.95407813,81.79399872,7.894881248
282,19.6,18.75,1.53,8.98,11.97,1.87,8.64,11.72,1.55,8.85,11.83,1.63,8.57,11.52,35.02861328,63.7922287,8.502873421
283,15.84,17.14,1.81,6.47,8.55,1.66,7.28,9.68,1.24,7.24,9.7,1.45,6.55,8.68,35.14776172,77.12438202,6.923972607
284,17.02,22.03,1.92,6.55,8.4,2.35,7.56,9.92,1.3,7.26,9.36,1.59,7.18,9.47,35.44589844,72.38362122,9.508203506
285,18.44,16.62,1.59,7.21,9.73,1.94,9.21,12.32,1.59,8.39,11.23,1.94,8.53,11.46,35.82623438,78.22382355,8.528619766
286,11.36,13.1,2.38,6.33,9.46,1.95,6.37,9.43,2.03,6.51,9.81,1.66,6.77,10.27,35.99580078,64.94926453,10.32907009
287,18.26,12.68,1.99,8.97,12.16,1.63,9.6,12.8,1.5,8.87,11.94,1.22,8.75,11.68,36.18630469,81.40142059,7.956481934
288,20.22,19.63,1.67,7.44,10.1,2.04,8.89,11.88,1.52,8.01,10.81,1.59,8.27,11.17,36.31551953,73.5222702,9.023732185
289,15.91,24.83,1.8,8.57,11.09,2.19,8,10.77,1.89,8.69,11.31,1.63,7.88,10.07,36.47503516,63.78483963,9.863459587
290,20.04,15.35,1.99,7.92,10.91,1.99,7.83,10.8,1.28,7.97,10.97,1.26,7.78,10.74,36.76535156,85.91998291,6.862334251
291,19.08,12.31,1.99,8.44,11.58,1.63,8.21,11.25,1.58,8.66,11.75,1.3,8.25,11.06,37.22632422,80.97428894,7.994970798
292,19.55,16.72,1.72,9.02,12.1,1.41,7.18,9.58,1.69,8.21,11.15,1.38,7.88,10.52,37.29279297,86.50353241,8.182370186
293,16,15.1,1.83,6.93,9.2,2.23,6.55,8.8,1.83,6.88,9.28,1.5,7.08,9.48,37.39386328,77.63072968,8.491880417
294,19.6,17.83,1.84,8.76,11.73,1.51,8.46,11.27,1.21,8.76,11.73,1.48,7.36,10.06,37.62421094,84.65939331,7.245913029
295,18.52,13.63,1.74,8.53,11.46,1.43,8.39,11.22,1.7,8.67,11.72,1.95,8.33,11.33,37.62577734,81.26332092,7.562115669
296,20.37,16.4,1.74,7.87,10.83,2.01,9,12.18,1.32,8.94,12,1.61,8.44,11.55,37.85646484,82.5594101,7.634040833
297,17.38,20.01,1.98,8.55,11.36,2.01,7.71,10.21,1.47,8.1,10.72,1.65,8.14,10.82,37.87399219,77.30004883,7.718571663
298,19.73,17.37,1.98,8.5,11.44,1.62,7.46,9.92,1.72,8.44,11.36,1.41,7.17,9.57,38.07932813,88.36109924,7.922132492
299,15.88,15.16,2.35,7.23,9.81,1.92,7.39,9.99,1.4,7.5,10.04,1.71,7.48,10.12,38.70648828,84.23851776,8.984560966
300,17.77,18.91,2.07,8.34,11.06,1.69,8.22,10.75,1.77,8.34,11.06,1.84,8.66,11.45,39.09053516,91.2569809,8.552600861
301,19.37,17.35,1.75,8.33,10.57,2.14,8.59,11.56,1.34,8.49,11.44,1.64,8.64,11.64,39.11005859,87.45276642,7.843039989
302,20.85,20.62,1.53,7.98,10.91,1.87,9.49,12.66,1.53,8.99,11.83,1.4,8.4,11.07,39.23762891,78.90656281,7.448469639
303,19.8,16.45,1.94,8.48,11.52,1.59,9.52,12.65,1.81,8.23,11.23,1.48,9.82,12.94,39.30914063,82.99092865,8.124996185
304,16.76,14.74,1.8,9.67,13.1,2.2,7.79,10.56,1.43,8.85,11.87,1.75,8.83,11.97,40.52347656,80.40784454,9.065483093
305,20.27,16.74,1.74,9.43,12.59,1.94,6.8,9.48,1.23,10.55,13.61,1.51,7.81,10.62,40.66567188,91.6000824,7.655964375
306,17.29,15.09,1.61,6.65,8.93,1.89,7.28,9.85,1.42,6.89,9.26,1.62,7.04,9.52,40.71743359,83.38352966,8.064680099
307,15.39,18.38,2.39,6.48,8.51,1.96,7.92,10.59,1.84,6.78,8.91,1.6,7.92,10.59,40.93819141,88.96869659,10.18179703
308,18.35,19.41,2.38,7.04,9.44,1.95,6.53,8.64,1.64,7.31,9.76,1.34,6.74,8.63,40.97834375,81.3825531,9.635479927
309,21.93,17.64,1.64,7.88,10.97,2,8.1,11.37,1.52,7.5,10.54,1.86,8.49,11.81,41.06687891,80.67126465,8.70887661
310,16.56,16.99,2.22,7.14,9.54,1.81,7.09,9.34,1.8,6.88,9.1,1.47,7.4,9.73,41.39929688,87.16973877,8.930514336
311,13.84,12.55,2.07,5.19,6.67,2.53,6.14,8.37,2.07,5.87,7.8,1.7,5.28,6.78,41.58395313,76.31092072,12.35349274
312,19.78,14.07,1.98,8.67,11.81,1.67,8.55,11.62,2.2,8.67,11.81,2.05,8.74,11.85,41.605625,85.00756836,9.465726852
313,18.09,21.38,1.61,7.66,10.07,1.97,7.96,10.77,2.2,8.02,10.61,1.8,8.15,10.26,41.88147656,74.63285065,8.952646255
314,21.73,17.12,2.04,7.31,10.44,1.67,9.01,12.22,1.25,7.85,10.99,1.44,8.41,11.67,42.19088672,96.77902985,7.772815228
315,19.54,14.85,1.38,8.48,11.54,1.69,9.1,12.3,1.59,8.61,11.61,1.94,8.62,11.71,42.55433984,84.02342987,8.053906441
316,19.71,14.65,2.01,8.02,10.98,1.64,7.88,10.68,1.52,8.89,11.95,1.86,7.6,10.46,42.99503125,86.47592926,9.027593613
317,18.17,17,1.61,8.34,11.09,1.97,8.46,11.31,2.18,7.89,10.81,1.78,8.34,11.16,43.01032813,85.02281189,9.379250526
318,17.42,21.53,2.31,7.9,10.38,1.89,9.37,12.22,1.67,7.67,10.13,1.37,9.37,12.22,43.16677344,89.08627319,9.122589111
319,18.56,19.61,1.72,8.19,10.63,2.11,7.77,10.39,1.76,8.28,11.04,1.44,8.19,10.63,43.30870313,82.63568878,9.07721138
320,17.26,16.75,2.38,7.14,9.69,1.94,5.22,6.58,1.44,5.22,6.58,1.76,7.52,10.11,43.34025,91.50955963,8.220645905
321,21.24,20.73,2.27,6.98,9.69,1.85,8.66,11.56,1.56,7.5,10.22,1.91,7.02,9.81,43.49728906,80.21588135,10.74534035
322,21.98,16.53,2.05,7.81,11.09,1.86,9.29,12.68,1.31,8.16,11.31,1.6,9.09,12.46,44.06634766,92.1488266,8.615847588
323,18.66,17.05,1.65,7.2,9.69,2.02,8.55,11.49,1.66,7.12,9.63,1.36,9.16,12.01,44.40924219,82.91199493,8.325370789
324,17.49,18.86,1.67,6.03,7.89,2.04,7.33,9.79,1.58,6.87,8.82,1.93,6.83,9.05,44.47587891,84.91593933,8.830113411
325,15.82,16.06,2.28,7.04,9.44,2.23,6.62,8.82,1.49,6.75,9.01,1.79,7.57,10.23,44.52960156,74.49730682,9.668904305
326,20.58,19.17,1.46,8.07,10.87,1.78,8.48,11.49,1.97,7.52,10.42,1.61,8.87,11.94,45.40667188,90.87306213,8.920804024
327,20.33,13.6,1.96,7.64,10.7,1.6,7.47,10.46,1.12,8.19,11.18,1.37,6.98,9.84,45.73603516,100.3839798,7.190555573
328,20.02,21.49,1.94,7.04,9.52,2.37,8.82,11.85,1.61,7.25,9.44,1.97,7.91,10.69,46.14121094,84.0408783,11.14317417
329,18.28,17.14,2.14,8.47,11.38,1.75,7.91,10.47,1.79,9.43,12.54,1.46,7.91,10.47,46.24074219,96.21903229,8.443547249
330,21.98,17.76,1.72,10.55,13.92,1.84,6.18,8.94,2.2,10.13,13.63,1.8,6.18,8.94,46.360125,92.89653778,10.62876987
331,19.64,14.1,2.11,8.56,11.77,1.73,8.9,12.08,1.74,9.28,12.4,2.12,8.59,11.75,46.51595313,97.98682404,10.68588734
332,18.64,17,1.74,7.6,10.15,1.52,8.71,11.56,1.78,8.83,11.69,1.45,7.67,9.88,48.28240234,91.14569855,8.053309441
333,20.57,13.24,3.18,8.57,11.88,2.6,9.91,13.37,1.83,9,12.04,2.23,8.91,12.24,49.28519141,82.40155792,15.03169823
334,21.22,17.27,1.46,8.55,11.49,1.79,10.14,13.54,1.97,7.7,10.75,2.05,10.07,13.45,52.69185156,101.6933136,9.384235382
335,19.22,16.26,1.79,8.71,11.59,2.19,9.35,12.57,1.58,9.09,12.15,1.81,8.83,11.85,53.83326172,103.9305649,9.868479729
336,21.07,18.6,2.1,8.84,12.01,1.72,10.85,13.9,1.8,9.18,12.44,1.58,10.33,13.7,54.11078125,109.7220917,9.884606361
337,19.55,15.4,1.73,8.22,10.91,2.11,6.92,9.59,1.84,6.92,9.59,2.25,7.71,10.64,54.91391016,109.2097626,11.41261673
338,19.82,17.46,2.37,9.82,13.05,1.94,8.55,11.34,1.54,11.02,14.11,1.88,7.77,10.57,54.94756641,103.1327286,10.44705582
339,20.26,17.62,1.91,8.02,10.85,2,8.75,11.75,1.5,7.62,10.46,1.84,8.05,11.02,55.9203125,109.3274078,9.176914215
340,17.01,22.87,1.56,7.32,9.6,1.9,7.23,9.62,2.03,6.82,8.9,1.95,7.8,10.24,56.82781641,90.00215912,11.03259468
341,18.58,16.95,2.23,6.03,8.17,1.83,6.94,9.33,1.59,6.47,8.76,1.58,6.43,8.74,57.22719141,108.3024445,9.481417656
342,15.51,24.26,2.46,6.93,9.03,2.01,7.49,9.69,1.82,7,8.97,2.23,7.13,9.33,57.76073047,90.50758362,11.97568893
343,19.16,16.45,2.42,9.02,12.22,1.98,8.03,10.87,1.98,8.03,10.93,1.87,8.41,11.37,58.16023438,113.0906982,10.84909725
344,13.23,19.21,2.18,6.17,8.09,1.78,6.76,8.98,1.78,6.84,9.33,2.17,6.15,8.25,58.48263281,100.4801025,12.21468544
345,20.41,18.92,1.77,8.85,11.75,2.16,9.11,12.2,1.52,8.85,11.75,1.86,9.36,12.44,58.91091016,107.222435,9.579362869
346,19.08,18.52,2.08,7.85,10.57,2.54,7.83,10.59,1.3,8.31,11.06,1.58,7.49,10.1,60.42448047,110.7080688,10.0057888
347,16.61,19.05,2.2,6.65,8.8,2.62,6.71,8.91,1.6,6.9,9.08,1.96,6.73,8.86,62.32630078,101.2743835,12.19468117
348,21.05,19.55,1.89,8.68,11.49,2.31,7.58,10.48,1.55,7.8,10.54,1.89,8.14,11.14,62.47812109,106.9796829,10.33956146
349,15.9,20.4,2.53,6.61,8.68,2.07,7.07,9.35,2.24,6.84,9.08,1.84,6.71,8.83,64.21792969,109.7299194,11.99115276
350,15.08,17.43,2.23,6.48,8.66,1.83,6.85,9.09,2.32,6.62,8.88,1.9,6.65,8.87,66.51596094,109.7152863,12.13582516
351,20.13,18.45,2.01,8.82,11.87,2.46,8.87,11.99,1.73,8.66,11.69,1.42,8.84,11.65,67.52532031,117.7467804,10.53044224
352,13.73,20.23,2.59,6.89,9.33,2.12,6.83,9.08,1.61,7.11,9.66,1.96,6.64,8.96,70.15567188,105.9468384,12.39461994
353,23.5,17.89,2.33,8.8,12.48,2.27,7.5,11.06,2.23,8.11,11.75,2.23,8.18,11.79,76.43632813,125.721756,13.9615593
354,20.14,19.23,2.36,8.12,10.99,2.45,8.18,11.02,2.08,8.07,10.86,1.94,8.32,11.18,84.36385938,135.223465,13.86523342
355,19.5,19.67,2.03,5.67,7.69,2.48,8.55,11.47,1.72,5.67,7.69,2.1,7.46,10.14,84.88229688,134.8790436,13.41665173
356,21.1,16.42,2.45,8.89,12.12,2.01,7.85,10.77,2.04,6.95,9.85,1.67,10.09,13.14,85.70103906,141.8109741,12.13861752
357,21.01,18.19,2.29,9.22,12.47,2.39,9.37,12.63,2.24,8.57,11.76,1.84,10.05,13.33,86.75583594,148.0547638,14.38985252
358,22.29,19.63,2.02,7.31,10.36,2.47,9.04,12.41,2.03,7.31,10.36,1.73,9.26,12.52,88.46795313,145.7740936,11.87154198
359,24.46,18.22,2.2,8.49,12.31,2.28,7.71,11.47,1.84,8.49,12.31,1.93,7.71,11.47,93.309125,158.2565918,11.23459053
360,24.42,17.16,2.4,8.72,12.68,1.96,8.34,12.24,2.32,8.72,12.68,2.07,8.34,12.24,96.30001563,156.479248,12.30125713
