filename,tree_height_m,dbh_cm,crown_width_m_E,branch_clearance_m_E,crown_height_m_E,crown_width_m_W,branch_clearance_m_W,crown_height_m_W,crown_width_m_N,branch_clearance_m_N,crown_height_m_N,crown_width_m_S,branch_clearance_m_S,crown_height_m_S,V_m3,A_m2,Aproj_m2
48,18.73,22.25,2.79,8.73,11.33,2.29,10.28,11.49,2.98,8.44,12.01,2.44,10.39,11.3,71.40377344,91.71627808,19.4221077
49,17.11,24.95,1.78,8.8,12.39,1.46,9.29,12.13,2.1,9.3,12.87,1.72,9.44,11.53,14.6986875,34.59749222,7.327029705
50,18.92,18.56,2.31,10.34,11.84,2.82,8.67,12.9,2.79,9.39,12.53,3.11,9.14,11.88,59.45690625,86.28613281,19.02978706
51,15.94,19.88,2.93,8.84,9.86,3.58,6.54,10.19,2.95,8.84,9.86,2.69,8.85,10.39,82.2478906,100.801712,29.37312126
52,19.39,28.77,3.27,9.14,12.1,2.67,10.77,11.95,3.84,8.93,11.5,3.84,8.4,12.26,115.4863594,124.8578339,32.00617218
53,17.74,22.63,3.13,8.03,11.98,2.56,9.75,11.8,2.5,9.75,11.8,3.05,8.03,11.98,65.10004297,69.82518768,21.19341469
54,18.42,25.91,2.67,8.99,10.99,2.19,10.03,11.18,3.34,9.92,10.36,4.08,9.11,11.81,96.01139844,119.4201355,25.73624802
55,20.61,27.83,3.52,4.78,12.44,2.88,10.84,12.46,3.23,10.84,12.46,3.94,10.35,12.24,118.4835625,127.5582886,32.24110413
56,18.98,32.63,2.81,8.52,12.17,2.8,8.59,12.1,2.38,8.73,12.04,2.9,7.56,12.24,80.5141875,101.521698,22.31161499
57,18.09,25.6,2.39,9.93,11.75,2.35,9.91,12.17,2.7,9.72,11.99,2.21,9.91,12.04,60.8009688,90.2251129,18.21177483
58,17.73,24.1,3.01,8.34,12.39,2.46,9.57,11.32,3.02,8.84,11.46,2.47,9.14,12.19,81.5343281,107.4922333,20.49485207
59,19.02,21.13,2.38,10.55,12.62,2.25,10.55,12.58,3.11,10.19,11.88,2.54,10.53,13.06,65.30257813,90.97254181,19.10814857
60,18.7,26.14,4.63,8.58,12,5.02,7.96,12.21,4.54,10.16,12.21,4.93,10.07,12.1,263.46975,190.1885681,66.1880722
61,20.2,29.46,3.88,11.22,12.35,4.74,10.43,12.32,2.8,11.22,12.61,3.43,10.42,12.18,188.3147188,153.9968414,35.36748123
62,16.02,25.72,2.38,8.16,11.52,2.34,8.42,13.34,3.06,8.42,13.34,3.13,8.16,11.52,95.26351563,81.855835,20.79561806
63,17.76,23.05,1.97,9.11,12.06,2.41,7.64,11.55,2.2,9.04,11.25,1.8,9.43,12.32,50.00836719,74.33930206,12.69405937
64,16.75,23.88,3.88,8.75,11.92,3.17,9.3,10.74,4.39,7.67,11.06,3.59,8.45,11.3,146.2858281,145.677063,36.99821091
65,16.12,20.12,2.85,7.75,10.88,2.33,8.69,11.08,3.94,6.71,11.32,3.22,7.74,10.74,109.7610781,127.7863922,25.29642677
66,17.93,31.68,3.48,8.87,11.94,2.85,9.91,12.06,3.31,8.99,12.25,3.69,8.83,11.59,101.2874141,123.8303223,33.07469559
67,16.01,21.79,2.81,7.51,10.89,3.01,7.48,11.13,2.25,7.51,10.86,2.75,7.21,11.03,57.37193359,85.74090576,18.64149094
68,19.41,26,3.17,9.04,12.13,3.62,8.24,12.13,3.5,8.37,12.31,2.86,10.08,12.08,93.12878906,129.9486008,30.34670639
69,19.66,26.99,3.08,10.74,9.71,3.77,8.41,12.32,2.94,8.36,12.11,2.41,10.74,9.71,141.9344844,172.1835022,27.72972679
70,17.76,23.15,2.02,9.28,11.95,2.2,8.75,11.24,2.39,8.81,11.76,2.92,8.42,11.39,69.0309531,87.1243134,17.27618217
71,16.22,28.65,2.63,8.35,10.71,3.22,7.68,11.08,2.79,8.21,10.97,3.38,7.73,10.82,97.2660469,116.7093506,26.92420006
72,17.62,20.85,2.21,8.98,11.66,2.7,8.15,10.99,2.76,8.23,11.52,2.61,8.21,11.13,79.10894531,105.9181442,18.52301025
73,19.04,28.6,3.08,10.47,11.79,3.76,9.67,12.36,2.57,10.54,12.05,2.3,10.53,12.29,118.148668,109.5474854,23.89042664
74,17.67,24.04,3.62,8.64,11.43,2.96,9.46,11.14,3.68,8.64,11.43,4.49,6.23,11.61,127.4507109,136.9900208,35.96811295
75,18.01,22.58,2.26,9.85,11.49,2.77,9.15,12.04,2.78,8.82,11.85,2.27,9.85,11.68,97.146375,97.0671234,15.78881073
76,16.82,20.25,2.76,7.77,10.85,2.97,8.11,11.34,2.4,6.09,10.54,1.97,9.34,11.12,70.86885156,102.7565384,15.7141571
77,19.88,25.51,2.79,10.69,11.96,3.4,9.56,12.15,2.34,11.04,12.91,2.86,10.86,11.56,102.8316016,121.3369827,21.73436356
78,20.95,27.41,2.79,11.5,12.63,3.41,10.72,12.31,2.45,11.64,12.73,2.99,11.26,12.36,119.3247813,139.7216644,24.68936539
79,19.35,26,3.11,9.53,11.76,2.54,10.3,11.78,3.34,8.53,11.76,2.73,9.22,11.67,119.3953672,131.7039032,24.77980804
80,15.29,23,2.17,8.08,11.42,2.36,8,11.25,2.24,7.54,10.58,1.83,8.49,11.57,42.75359375,68.62697601,13.99698544
81,16.56,29.76,2.66,9.2,11.25,3.25,4.35,12.52,1.91,8.83,12.1,2.33,7.84,10.87,91.88696875,118.1959763,17.11053276
82,18.96,24.86,2.4,10.51,12.47,2.5,10.47,12.87,2.81,10.37,12.51,3.44,9.46,12.5,85.3641406,107.0036774,23.42633057
83,16.99,22.41,2.64,8.17,11.26,2.16,9.39,12.9,2.52,8.1,10.73,2.06,9.39,12.9,42.76591797,67.91374969,16.08784294
84,17.99,23.59,2.32,9.78,10.43,1.9,9.96,11.35,3.09,9.78,10.43,3.77,7.3,11.04,86.44570313,110.4475098,20.44331741
85,17.94,21.33,3.34,8.96,11.04,2.88,9.53,11.12,2.67,9.42,10.68,2.18,9.97,11.74,94.13175,97.7595444,20.88084412
86,17.76,24.71,3.18,9.58,11.58,3.89,8.68,11.46,2.65,8.65,10.54,2.17,9.72,12.14,90.32125,100.7058411,25.08109474
87,19.16,23.68,1.87,9.22,13.18,2.29,7.86,12.15,2.16,9.37,12.82,2.64,5.26,13.17,46.7739707,78.98258209,16.06492424
88,17.92,22.55,3.42,9.32,12.4,4.18,8.36,11.59,2.87,9.78,12.58,3.51,8.66,11.41,146.3255156,162.8031464,30.5068512
89,18.01,26.13,2.7,9.77,10.53,2.21,9.97,11.94,2,9.98,11.49,2.45,8.98,11.06,70.68279688,99.75605774,15.52613544
90,19.38,25.19,2.96,8.17,11.99,2.43,9.49,11.58,3.25,10.41,11.2,3.98,8.35,12.44,131.1309844,136.8864899,26.34758949
91,10.8,16.72,3.16,5.25,13.37,2.58,5.72,8.73,2.02,5.98,13.7,2.44,5.9,8.4,53.65910938,58.0679169,19.97262001
92,16.9,23.63,2.48,8.42,11.41,3.03,8.18,11.08,2.44,9.26,10.18,2.98,8.38,10.99,60.75691406,86.21768188,20.01361656
93,19.44,24.43,3.58,9.81,11.65,2.93,10.77,10.96,2.97,9.82,11.74,2.43,10.77,10.95,110.5700781,137.4979858,26.70016861
94,17.54,28.76,2.08,9.48,11.51,2.54,9.25,13.08,2.69,9.67,12.47,3.28,8.65,12.47,73.44996094,97.65061188,19.63631439
95,15.97,23.6,2.48,7.81,11.13,2.97,7.51,11.14,2.57,7.3,10.67,2.1,8.57,11.7,57.33571875,79.4233017,16.23150444
96,12.6,13.57,1.43,7,11.37,1.75,4.47,9.13,3.11,5.16,15.84,2.55,6.41,8.04,41.53355859,76.96582031,13.23122501
97,17.72,22.01,2.23,9.84,11.91,2.72,9.68,11.41,3.75,9.68,11.41,3.07,9.84,11.91,85.058,115.7413483,22.42954063
98,18.41,19.68,3.03,7.97,11.94,2.57,8.72,11.96,2.5,10.01,11.85,3.05,8.69,11.71,76.40475781,96.99986267,21.70419693
99,20.01,22.62,2.04,11.05,12.26,2.49,10.03,12.12,1.99,10.14,12.16,2.43,9.06,12.22,43.76667188,66.04749298,14.90730476
100,22.68,26.91,2.97,12.12,13.15,3.63,10.7,13.75,2.79,10.55,12.99,3.42,5.59,14.28,147.6588906,133.1674271,24.0461998
